,sepal_lenght,sepal_width,petal_lenght,petal_width,species
65,6.7,3.1,4.4,1.4,verginica
66,5.6,3.0,4.5,1.5,verginica
67,5.8,2.7,4.1,1.0,verginica
68,6.2,2.2,4.5,1.5,verginica
69,5.6,2.5,3.9,1.1,verginica
70,5.9,3.2,4.8,1.8,verginica
71,6.1,2.8,4.0,1.3,verginica
72,6.3,2.5,4.9,1.5,verginica
73,6.1,2.8,4.7,1.2,verginica
74,6.4,2.9,4.3,1.3,verginica
75,6.6,3.0,4.4,1.4,verginica
76,6.8,2.8,4.8,1.4,verginica
77,6.7,3.0,5.0,1.7,verginica
78,6.0,2.9,4.5,1.5,verginica
79,5.7,2.6,3.5,1.0,verginica
80,5.5,2.4,3.8,1.1,verginica
81,5.5,2.4,3.7,1.0,verginica
82,5.8,2.7,3.9,1.2,verginica
83,6.0,2.7,5.1,1.6,verginica
84,5.4,3.0,4.5,1.5,verginica
85,6.0,3.4,4.5,1.6,verginica
86,6.7,3.1,4.7,1.5,verginica
87,6.3,2.3,4.4,1.3,verginica
88,5.6,3.0,4.1,1.3,verginica
89,5.5,2.5,4.0,1.3,verginica
90,5.5,2.6,4.4,1.2,verginica
91,6.1,3.0,4.6,1.4,verginica
92,5.8,2.6,4.0,1.2,verginica
93,5.0,2.3,3.3,1.0,verginica
94,5.6,2.7,4.2,1.3,verginica
95,5.7,3.0,4.2,1.2,verginica
96,5.7,2.9,4.2,1.3,verginica
97,6.2,2.9,4.3,1.3,verginica
98,5.1,2.5,3.0,1.1,verginica
99,5.7,2.8,4.1,1.3,verginica
100,6.3,3.3,6.0,2.5,varsicolor
101,5.8,2.7,5.1,1.9,varsicolor
102,7.1,3.0,5.9,2.1,varsicolor
103,6.3,2.9,5.6,1.8,varsicolor
104,6.5,3.0,5.8,2.2,varsicolor
105,7.6,3.0,6.6,2.1,varsicolor
106,4.9,2.5,4.5,1.7,varsicolor
107,7.3,2.9,6.3,1.8,varsicolor
108,6.7,2.5,5.8,1.8,varsicolor
109,7.2,3.6,6.1,2.5,varsicolor
110,6.5,3.2,5.1,2.0,varsicolor
111,6.4,2.7,5.3,1.9,varsicolor
112,6.8,3.0,5.5,2.1,varsicolor
113,5.7,2.5,5.0,2.0,varsicolor
114,5.8,2.8,5.1,2.4,varsicolor
115,6.4,3.2,5.3,2.3,varsicolor
116,6.5,3.0,5.5,1.8,varsicolor
117,7.7,3.8,6.7,2.2,varsicolor
118,7.7,2.6,6.9,2.3,varsicolor
119,6.0,2.2,5.0,1.5,varsicolor
120,6.9,3.2,5.7,2.3,varsicolor
121,5.6,2.8,4.9,2.0,varsicolor
122,7.7,2.8,6.7,2.0,varsicolor
123,6.3,2.7,4.9,1.8,varsicolor
124,6.7,3.3,5.7,2.1,varsicolor
125,7.2,3.2,6.0,1.8,varsicolor
126,6.2,2.8,4.8,1.8,varsicolor
127,6.1,3.0,4.9,1.8,varsicolor
128,6.4,2.8,5.6,2.1,varsicolor
129,7.2,3.0,5.8,1.6,varsicolor
130,7.4,2.8,6.1,1.9,varsicolor
131,7.9,3.8,6.4,2.0,varsicolor
132,6.4,2.8,5.6,2.2,varsicolor
133,6.3,2.8,5.1,1.5,varsicolor
134,6.1,2.6,5.6,1.4,varsicolor
135,7.7,3.0,6.1,2.3,varsicolor
136,6.3,3.4,5.6,2.4,varsicolor
137,6.4,3.1,5.5,1.8,varsicolor
138,6.0,3.0,4.8,1.8,varsicolor
139,6.9,3.1,5.4,2.1,varsicolor
140,6.7,3.1,5.6,2.4,varsicolor
141,6.9,3.1,5.1,2.3,varsicolor
142,5.8,2.7,5.1,1.9,varsicolor
143,6.8,3.2,5.9,2.3,varsicolor
144,6.7,3.3,5.7,2.5,varsicolor
145,6.7,3.0,5.2,2.3,varsicolor
146,6.3,2.5,5.0,1.9,varsicolor
147,6.5,3.0,5.2,2.0,varsicolor
148,6.2,3.4,5.4,2.3,varsicolor
149,5.9,3.0,5.1,1.8,varsicolor
